"author_id","tweet","username","follower","tweet_clean","emoticon_sentimen_score"
1462013845015195648,"hi, aku gapyear dan mau cari mutual lagi yang sesama gapyear atau pejuang snbt 2023 heyy let's be moots 🦖

call me naur
gapyear '22
soshum

help rt/like ya, anw thank u 🙇🤸💓🌷
#studytwt #studyacc #AMBISVERSE","ambishit",601,"h gapyear cari mutual gapyear juang snbt hey sexy lets be moots 🦖 call me naur gapyear soshum help rtlike ya anw thank 🙇🤸💓🌷 studytwt studyacc ambisverse",1.36811712299872
1201673806156161024,"Sch! Mending beli buku buat snbt sekarang atau nunggu sosialisasi dulu ya?

✄・・・
🧐 Trivia: Karya tulis tertua di dunia adalah Epos Gilgamesh","schfess",495887,"sch mending beli buku snbt tunggu sosialisasi ya 🧐 trivia karya tulis tua dunia epos gilgamesh",0
1490197413268967424,"worth it gak sih ges buat belajar snbt? https://t.co/RLOJ268rqj","roommbis",173,"worth itu enggak sih ges ajar snbt",0
1201673806156161024,"Sch! Buku ini worth it gak buat belajar snbt? https://t.co/LGXRr3aKPc","schfess",495887,"sch buku worth itu enggak ajar snbt",0
79182387,"Belum pernah try out SNBT? Ikutan aja di https://t.co/FG0b4Wqhwo https://t.co/CZibscTZh8","Alfanny1926",4864," try out snbt ikut saja ",0
1589232815173795840,"@bismillahcerah Wiii keren, kamu lewat tl aku btw!! Semoga pas snbt aku bisa mencapai nilai segitu. Btw sowwy, itu nama apknya apa ya??","azkiakuma",30,"w keren lewat tl btw moga pas snbt capai nilai segitu btw sowwy nama apknya ya",0
1059700735644860416,"@Ghz4Ghz kita balas di snbt 2023","chrshgn_",38," balas snbt",0
1545056893948727296,"@Kkoallaz @itbfess balas di snbt sih kalo UAS zonk 🤡","octarchivex",36,"balas snbt sih kalo uas zonk 🤡",0
1538041392215207936,"Pesaing terberat snbt tuh bukan anak GO. Tapi anak tpb.","studywithid",83,"saing berat snbt tuh anak go anak tpb",0
1536345889794498560,"skor gue pas snbt nanti 700","cherielaviamore",379,"skor gue pas snbt ",0
1258767733937692672,"@menomous after snbt 'yahh pilihan 2,, kita balas di jalur mandiri'","shalahsiapa",2171,"after snbt ya pilih balas jalur mandiri",0
1258767733937692672,"@menomous after smster berikutnya
'balas nya di snbt aja ga sih'","shalahsiapa",2171,"after semester ikut balas nya snbt saja enggak sih",0
1499661270672293888,"@shadowithmoon Sekarang namanya snbt","bukananak_ambiz",0," nama snbt",0
1576777679868919808,"@sbmptnfess haloo bisa join group ini ya sebenrnya semigap tp beberapa yg gap juga adaa,boleh join asal tidak rusuh yaa and feel free buat nanya” snbt or study

https://t.co/zWy7Hv0t6N","sasy_____31",7,"haloo join group ya sebenrnya semigap tapi yang gap adaaboleh join asal rusuh ya and feel free tanya snbt orang study",0
1296430127685885952,"yang masih ragu ragu atau mikir dulu buat beli sharing pahamify, nih pahamify udah diupdate pake sistem utbk snbt 2023 tps nya. yuk buruan diorder aku udah ready sharing ber3 sisa 2 slot &amp; ber6 sisa 3 slot🤩🙌🏻 

400+ testi: https://t.co/3Rks561nV3 https://t.co/E2UkTjR6dk","kjkstore",3094," ragu ragu mikir beli sharing pahamify nih pahamify sudah diupdate pakai sistem utbk snbt tps nya yuk buru order sudah ready sharing ber sisa slot ber sisa slot🤩🙌🏻 testimoni",0.560424966799469
1205629250423779328,"👨‍🎓 gmn cara nyari temen pejuang gap/pejuang snbt tapi aku gada akun studytwt hihu","sbmptnfess",541941,"👨🎓 bagaimana cara cari teman juang gappejuang snbt enggak ada akun studytwt hihu",1.15584415584416
1251864128613842944,"@yujiemv Hai temenan yuks semoga kita lulus snbt tahun depan ya","tessalodge_",16,"hai teman yuk moga lulus snbt tahun ya",0
