"word","value"
"bobroq",-4
"bocor",-4
"bodo",-5
"bodoamat",-4
"bogem",-5
"bogem mentah",-5
"bogum",-3
"bohong",-5
"bokek",-5
"bokep",-5
"boker",-3
"boksen",-5
"bokser",-5
"boleh",2
"boleh juga",-3
"bolehan",4
"bolong",-3
"bolos",-3
"bolsak",-4
"bom",1
"bom",-1
"bombastis",2
"bombastis",-3
"bonafide",3
"bondong",-4
"bondot",-5
"bongak",-5
"bonggol",-4
"bongkah",-2
"bongkak",-3
"bongkar",-3
"bongkar-bangkir",-5
"bongkong",-3
"bongok",-3
"bongsor",-2
"bonus",4
"bonus",-3
"bonyok",5
"booking",2
"boong",-4
"bopong",1
"bopong",-3
"borak",-4
"boro",-2
"borok",-5
"borong",2
"borong",-1
"boros",-5
"bos",3
"bosen",-4
"bosman",-4
"bosun",-4
"bot",-2
"boyak",-5
"brengsek",-5
"brokat",-4
"broker",-3
"bromocorah",-5
"brutal",-5
"bruto",-3
"buah",2
"buah",-3
"buah bibir",-2
"buah dada",-3
"buah hati",-3
"buah simalakama",-3
"buaian",3
"bual",-4
"bualan",-4
"buang",-3
"buang-buang air",-5
"buang air",-5
"buang air besar",-5
"buang air kecil",-3
"buang hajat",-5
"buang nyawa",-5
"buangan",-4
"buari",-4
"buas",-5
"buat",1
"buatan",3
"bubuh",4
"bubuk",-5
"bucu",-3
"budak",4
"budek",-3
"budi pekerti yang baik",3
"budiman",4
"bufer",-3
"bugar",4
"buhuk",-4
"bujang",4
"bujukan",-3
"buka",3
"buka",-3
"bukan",-3
"bukan main",4
"bukannya",-3
"bukat",-4
"bukti",-3
"bulan",-1
"bulan-bulanan",-4
"bulang",3
"bulat",-3
"bulat kata",3
"buletin",-3
"bulevar",-4
"bully",-5
"bulsak",-4
"buluh",-3
"bulus",-5
"bumbu",5
"bumbung",3
"buncah",-5
"buncit",-3
"bunda",3
"bunda",-5
"bundak",-3
"bundel",-5
"bunduk",-3
"bunga",3
"bunga",-3
"bunga hati",-3
"bungkam",1
"bungkam",-4
"bungkusan",4
"bungsu",-3
"buntang",-4
"buntet",-2
"bunting",-3
"buntu",-3
"buntung",-5
"buntut",1
"bunuh",-5
"bunyi",2
"bunyi",-1
"burai",-5
"buram",-3
"buras",-4
"buru",1
"buru",-3
"buru-buru",1
"buru-buru",-3
"buruan",1
"buruk",-5
"busana",2
"busuk",-5
"busut",-4
"buta",-3
"buta hati",-4
"butek",-3
"butuh",-5
"butut",-5
"buyung",4
"buyut",-3
"bye",-3
"caba",-4
"cabar",-4
"cabau",-3
"cabe",-2
"cabean",-3
"cabik",-3
"cabuh",-3
"cabul",-5
"cabut",-5
"cacat",-5
"cacatan",-5
"cacau",-5
"cacauan",-4
"caci",-5
"caci maki",-5
"cacian",-5
"cacing",-4
"cacing es",-4
"cacing gelang-gelang",-4
"cacing gila",-4
"cacing gilig",-4
"cacing ginjal",-4
"cacing hati",-2
"cacing hitadid",-4
"cacing jantung",-4
"cacing kalung",-4
"cacing karawit",-3
"cacing kentar",-4
"cacing keremi",-4
"cacing palolo",-4
"cacing pipih",-4
"cacing pita",-4
"cacing rambut kuda",-4
"cacing tambang",-2
"cacing tanah",-4
"cadang",2
"cadang",-5
"cadangan",2
"cadas",-3
"cagaran",-3
"cahari",-3
"caing",-3
"cair",-1
"cakap",2
"cakap",-4
"cakap angin",-4
"cakep",5
"cakep",-1
"cakus",-4
"calar",-3
"calit",-5
"campak",-4
"campakkan",-4
"camping",-3
"campur",5
"campur aduk",-2
"canda",-3
"candal",-5
"candala",-5
"candang",2
"candrasa",3
"candu",3
"candu",-3
"canggung",-4
"cangkul",-4
"cangkum",-3
"cantik",2
"cantik",-4
"cantrik",3
"cantrik",-3
"cantum",4
"capai",4
"capai",-5
"capaian",4
"capak",-4
"cape",-4
"capek",4
"capek",-4
"capit",-3
"caplak",-4
"caplok",3
"caplok",-3
"care",2
"cari",-3
"cari ilmu",4
"cariin",-2
"carik",-5
"caruk",-4
"carut",-5
"cash",2
"catak",-4
"catu",4
"catut",-3
"cawis",2
"cebak",3
"cebik",-3
"cebur",-5
"cecap",-5
"cecer",-3
"ceceran",-3
"cecunguk",-5
"cedayam",2
"cedayam",-2
"cedera",-4
"cedih",-3
"cedok",3
"cegah",2
"cegah",-2
"cegak",1
"cegak",-4
"cegar",4
"cegat",-3
"cek",-4
"cekah",-4
"cekak",-3
"cekang",-3
"cekat",2
"cekat",-4
"cekatan",2
"cekatan",-3
"cekau",-2
"cekel",4
"ceker",-3
"cekluk",-4
"cekok",-3
"ceku",-5
"cekuh",-3
"cekung",-4
"cela",-4
"celaan",-5
"celah",-3
"celaka",-5
"celampak",-3
"celemotan",-4
"celengan",3
"celetuk",-5
"celih",-4
"celomes",-4
"celomok",-4
"celonok",-3
"celopar",-4
"celoteh",-4
"celuk",-3
"cema",-5
"cemar",-5
"cemas",-3
"cemat",-5
"cemberut",-4
"cembung",-3
"cemburu",-5
"cemeeh",-4
"cemeh",-4
"cemerlang",4
"cemerlang",-1
"cemeti dewa",-2
"cemomot",-4
"cemong",-4
"cemooh",-5
"cemoohan",-4
"cempala mulut",-5
"cempek",-4
"cempelung",-5
"cempeng",-4
"cempera",-5
"cempiang",3
"cemplung",1
"cemplung",-4
"cempung",-4
"cemuas",-4
"cena",-3
"cenangkas",3
"cencala",-5
"cendala",-5
"cendekia",3
"cendekia",-4
"cendera",4
"cendera mata",4
"cenderung",-2
"cengang",1
"cengang",-3
"cengeng",-4
"cengger",-3
"cengkauan",3
"cengkedi",-4
"cengkeram",1
"cengkeram",-5
"cengkerama",-2
"cengkeraman",1
"cengung",-3
"centang",-5
"centil",5
"centil",-3
"cepat",3
"cepat",-3
"cepet",2
"cepol",-4
"cerabah",-5
"cerabih",-4
"ceracam",-4
"ceracau",-4
"cerai",-4
"cerai-berai",-5
"cerapan",3
"cerca",-4
"cercaan",-4
"cercah",2
"cercah",-5
"cerdik",2
"cerewet",-5
"ceri",4
"ceria",4
"ceria",-1
"cerita",2
"cerita",-4
"cerita anak",2
"cerita anak",-4
"cerita burung",-5
"cerita khayal",-2
"cerita rekaan",-4
"ceritanya",2
"ceriwis",-4
"cermin",3
"cerminan",3
"cerna",-5
"ceroboh",-5
"ceronggah",-4
"ceruk",-3
"cerup",-3
"cetek",-3
"cetera",-4
"cetus",-1
"cetusan",-1
"challenge",2
"chat",3
"check",1
"cibir",-5
"cicik",-4
"cicip",3
"cikun",-5
"cilok",-3
"cimeng",-3
"cincong",-5
"cindur mata",4
"cingangah",-4
"cinta",3
"cinta",-1
"cinta kasih",5
"cinta kasih",-1
"cintai",4
"cintaku",4
"cintamu",3
"cintrong",2
"cintrong",-1
"ciplak",-3
"ciptaan",3
"cirit",-5
"cita rasa",3
"citra",2
"cium",3
"cium",-3
"cium telapak kaki",1
"ciuman",-3
"ciut",-3
"ciyeee",1
"claim",-3
"classy",-2
"close",-2
"closed",-3
"coba",2
"coba",-1
"cobaan",-5
"cocok",4
"cocok",-3
"cocor",-3
"coffee",2
"cokol",4
"cokol",-4
"colak-caling",-5
"coleng",-4
"colok",2
"colok",-3
"colong",-5
"comberan",-4
"comblang",-5
"comeback",-2
"comel",4
"comel",-1
"comot",-4
"compeng",-4
"compes",-4
"condong",-5
"congek",-3
"congkak",-3
"congkel",-4
"congor",-3
"congrats",3
"conteng",-3
"cool",2
"coplok",-3
"copot",1
"copot",-3
"coreng moreng",-4
"corengmoreng",-4
"coret",2
"coret",-1
"coretan",2
"coretan",-1
"cotok",-3
"couple",2
"cover",3
"crash",-4
"cry",-3
"cuai",-4
"cuak",-4
"cuat",2
"cuat",-3
"cubit",-3
"cublik",4
"cuca",-3
"cucok",-1
"cucu Adam",3
"cucuk",-3
"cucup",-3
"cucut",-3
"cuek",1
"cuek",-5
"cuekin",-3
"cuka belanda",-5
"cuka jawa",-5
"cukup",-5
"cukupan",-3
"cuma",-3
"cuma-cuma",4
"cumbu",-3
"cumbuan",-3
"cumil",4
"cunam",-3
"cupet",-5
"cupul",-5
"cura",-3
"curang",-5
"curat",-1
"curcol",-3
"curhat",2
"curhat",-3
"curi",-5
"curiga",1
"curiga",-4
"curna",-5
"curu",-3
"cute",5
"cute",-1
"cutel",-4
"cuti",3
"cuti",-2
"dabih",-3
"dadah",-4
"dadak",3
"dadu",3
"daftar",1
"daftar",-3
"dagel",3
"dagelan",3
"daging tumbuh",-4
"dah",-3
"dahh",-3
"dahiat",-5
"dahlah",-3
"dahsyat",2
"dahsyat",-5
"dahulu",2
"dahulu",-1
"daif",-3
"daim",3
"daing",-4
"dajal",-5
"dakaik",3
"dakap",-3
"daki",-4
"dakwa",3
"dalal",-3
"dalalah",-5
"dalam",3
"dalang",3
"dalang",-3
"dalem",-2
"dalih",-4
"dalil",-3
"dam",-3
"damar",4
"dambaan",3
"dampak",-3
"damping",1
"damprat",-4
"dampratan",-5
"dana",4
"dandan",4
"dangkal",1
"dangkal",-4
"dangkap",-3
"dangkar",-4
"dangkung",-3
"dansa",3
"danyang",-4
"dapat",2
"dapat",-2
"dapatkan",2
"dapet",2
"dapra",-3
"darah",4
"darah",-1
"darah dingin",-4
"daras",-5
"darat",1
"darat",-3
"dari",-3
"darurat",1
"darurat",-4
"data",-3
"datang",-4
"datang hati",-5
"datar",3
"dateng",2
"datuk",-4
"daulat",4
"daya cipta",4
"daya gabung",4
"daya guna",4
"daya muat",-2
"daya pikir",3
"daya pikir",-2
"daya serap",-2
"daya tahan",5
"daya tampung",-2
"daya upaya",3
"daya upaya",-4
"dear",2
"death",-3
"debar",2
"debar",-3
"debat",3
"debil",-5
"debu",-3
"debuk",3
"dedak",-3
"dede",1
"dedemit",-4
"dedengkot",3
"dedengkot",-2
"deduksi",3
"defekasi",-5
"defensif",4
"definisi",3
"definit",2
"defisit",-3
"degap",3
"degil",-5
"degub",1
"degub",-3
"dekaden",-5
"dekadensi",-5
"dekap",-2
"dekat",1
"dekat",-4
"deket",1
"dekil",-5
"deklarasi",-3
"dekorasi",5
"delay",-3
"delegasi",-4
"delete",-3
"delusi",3
"demek",-4
"demen",3
"demen",-3
"demo",-3
"demon",-3
"demonstrasi",-3
"dempet",-3
"denai",-4
"denda",3
"dendam",-5
"dendam berahi",5
"dendam berahi",-4
"dendang",2
"dendeng",-4
"dengar",2
"dengar pendapat",3
"denger",-3
"dengerin",3
"dengki",-5
"dengkik",-4
"dengkul",-3
"dengkur",-3
"dengu",-3
"dengung",-3
"dengus",-3
"dengut",-3
"denyut",2
"denyut",-2
"depak",-3
"dependen",3
"deposito",3
"depresi",-4
"deraan",-5
"derai",-3
"derajat",5
"deras",2
"deras",-3
"derauan",3
"derek",-5
"deres",1
"deriji",-4
"dering",-3
"derita",-5
"deru",-3
"derum",-4
"desah",-3
"desain",4
"desak",1
"desak",-4
"desakan",4
"desas-desus",-5
"desau",-3
"desersi",-3
"desir",-2
"deskripsi",-4
"destar",-4
"detail",2
"detailnya",1
"detak",-3
"detektif",-3
"determinasi",3
"dewan",-3
"dewana",3
"dewasa",2
"dia",-3
"diajak",1
"diajarin",-3
"dialog",1
"dialog",-3
"diam",1
"diam",-3
"diamond",3
"diancurin",-3
"diapain",-3
"diare",-4
"dibalas",2
"dibales",-3
"dibalik",-3
"dibantu",2
"dibayar",3
"dibeliin",-1
"diblock",-4
"dibuang",-3
"dibully",-5
"dicoba",2
"dicuekin",1
"didih",-4
"didik",3
"didik",-3
"diduain",-3
"die",-4
"diem",2
"diem",-3
"diet",-3
"digantung",-3
"digdaya",4
"diginiin",-3
"digituin",-2
"digresi",-4
"dihati",3
"dikangenin",-2
"dikara",3
"dikasih",2
"dikatain",-3
"diketawain",-4
"dikira",-3
"dikirim",2
"dikit",-4
"dikonfirmasi",3
"dikte",3
"dilarang",-3
"dilema",-3
"diliatin",-3
"dilupain",-4
"dimakan",-2
"dimarahin",-5
"dimiliki",1
"dimulai",1
"dina",-5
"dinamika",3
"dinasti",-3
"dingin",4
"dingin",-2
"dinistain",-4
"dipaksa",-4
"dipamerin",-3
"dipanggil",-1
"dipantau",2
"diplomasi",-5
"diproses",1
"direksi",-3
"direktur",3
"diri",-1
"dirimu",-1
"disakiti",-5
"disalahin",-3
"disarankan",1
"disayang",3
"disayang",-3
"disentri",-5
"diserang",-4
"disimilaritas",-4
"disiplin",3
"diskaun",3
"diskon",2
"diskredit",-4
"diskrepansi",-3
"disparitas",-4
"dispensasi",3
"distingsi",-4
"distingtif",4
"distorsi",-4
"distribusi",3
"disuruh",-2
"diterima",2
"ditidurin",-4
"ditinggal",-4
"ditolak",-4
"ditunggu",2
"diusir",-4
"diva",2
"divergensi",-4
"doa",4
"doa",-4
"doain",2
"doang",1
"doang",-1
"dobel",-3
"dobrak",3
"dobrak",-4
"dodor",3
"dogma",-3
"dogmatis",2
"dogol",-5
"doh",-4
"doi",-3
"dok",4
"doktrin",3
"doktrin",-3
"dol",3
"domba",-3
"dominan",3
"dominan",-2
"dominasi",3
"domot",-5
"dompleng",-3
"donatur",3
"dongeng",3
"dongeng",-1
"dongkel",-3
"dongkol",-4
"dongok",-5
"donor",3
"dosa",-4
"down",-3
"drama",-4
"drama duka",-4
"drama ria",3
"drastis",4
"drastis",-4
"draw",-3
"drop",-3
"drum",2
"dua",1
"dua",-3
"dua kali",-3
"duaja",-3
"duduk perut",-3
"duel",-4
"duet",-2
"duga",3
"duga",-1
"dugal",-5
"duh",-4
"duka",4
"duka",-5
"dukacarita",-4
"dukacita",-3
"dukun",-3
"dukung",4
"dukungan",4
"duli",4
"duli",-3
"duluan",2
"duluan",-2
"dum",-3
"dungkul",-4
"dungu",-5
"dunia",1
"dunia",-2
"dupleks",-3
"dura",-3
"durhaka",-5
"duri",-4
"durjana",-5
"durkarsa",-5
"dursila",-5
"dwiganda",-3
"dzuhur",1
"eaa",1
"eban",-4
"ecer",-2
"eco",5
"edan",-3
"edar",2
"edaran",-3
"eek",-5
"efek",3
"efektif",5
"efisien",4
"ego",-3
"egois",-5
"eja",3
"ejakulasi",-3
"ejek",-4
"ejekan",-4
"eka",3
"ekang",-4
"eklektis",-3
"ekofraksia",-5
"ekonomis",3
"ekor",-3
"eks",-3
"eksemplar",3
"ekshibisi",-3
"eksklusif",4
"ekspirasi",-3
"eksplisit",3
"eksplisit",-2
"eksplorasi",4
"ekspos",-4
"ekspres",3
"ekspres",-3
"ekstasi",-3
"ekstensif",3
"ekstra",3
"ekstrem",-4
"ekstremis",3
"el",-3
"elak",-3
"elegan",4
"elegan",-1
"elektromotif",3
"elite",5
"elu",3
"elu",-2
"elusan",-3
"elusif",-2
"embah",-3
"embal",-4
"embarau",-3
"embat",-4
"embek",-3
"embel-embel",5
"embus",-3
"emergensi",-4
"emg",-1
"emir",4
"emmm",-2
"emong",3
"emosi",3
"emosi",-4
"empal",-4
"empang",-3
"empap",-3
"empas",-3
"empedal",-5
"emper",-3
"empos",-3
"empot-empotan",-5
"empuk",3
"empuk",-4
"enak",5
"enak",-4
"enas",-5
"encok",-5
"endemi",-5
"endus",3
"endus",-3
"endut-endut",3
"enek",-4
"eneng",5
"energi",3
"energik",5
"energik",-1
"engah",1
"engah",-4
"enggan",-5
"engkau",-4
"enjoy",3
"entah",-3
"entah-berentah",-3
"entak",-3
"enteng",4
"enteng",-2
"entitas",1
"enyah",-4
"epidemi",-5
"epigon",-3
"erang",1
"erang",-4
"erangan",-3
"erik",-3
"eror",-4
"erot",-4
"erotan",-4
"erotis",-4
"eroton",-4
"error",-5
"erti",2
"erti",-2
"esa",3
"esai",2
"esensial",-4
"esok",1
"esok",-2
"estetik",4
"estetis",4
"estetis",-1
"eviden",3
"ex",-1
"excited",-1
"faal",4
"fadihat",-5
"fadil",3
"faedah",4
"faedah",-1
"faedahnya",-1
"fail",-5
"fair",3
"fakir",-5
"fakta",-3
"faktitius",3
"faktor",-4
"faktual",3
"familiar",2
"fanbase",3
"fans",2
"fantasi",3
"fantasy",2
"farak",-3
"faring",-5
"fasid",-5
"fasilitas",2
"fasilitas",-4
"fatal",-5
"fatamorgana",3
"fatanah",3
"fav",5
"favorite",4
"federasi",3
"fertil",4
"feses",-5
"fiesta",3
"figur",3
"fiksi",2
"fiksi",-2
"filantropi",2
"filantropi",-1
"filial",2
"filo",-3
"filsafat",3
"filsafat",-3
"final",3
"final",-2
"fine",3
"firasat",1
"firasat",-4
"fiskal",-3
"fit",4
"fitnah",-5
"fitrah",3
"fk",-4
"flu",-3
"fokus",3
"fokus",-2
"folder",-5
"follback",1
"fondasi",2
"fondasi",-3
"formal",2
"formal",-3
"formasi",3
"forum",2
"forum",-3
"fosil",-4
"foto",3
"free",3
"fresh",-2
"friends",3
"friksi",-5
"frustasi",-3
"fulanah",1
"fulanah",-3
"fundamental",-4
"fungsionaris",-3
"fusi",4
"gaada",-3
"gaakan",-2
"gabaik",-3
"gabakal",-4
"gabal",-5
"gabas",-5
"gabole",-2
"gaboleh",-4
"gabuk",-4
"gabung",-5
"gabungan",-5
"gabut",-5
"gabutuh",-3
"gaco",-2
"gacoan",-2
"gadai",-3
"gadang",-4
"gado-gado",-4
"gaenak",-3
"gagah",5
"gagah",-1
"gagal",-4
"gagap",-5
"gagar",-3
"gagu",-3
"gaib",-5
"gairah",3
"gairah",-2
"gajadi",-3
"gajak",4
"gaje",-3
"gajih",-2
"gakuat",-3
"galaba",-5
"galak panas",-3
"galas",-4
"gali ilmu",4
"galian",-3
"gamak",-4
"gamam",-4
"gamang",-3
"gamat",-5
"gamau",-4
"gambar",2
"gambar",-3
"gambir",3
"gamblang",3
"gamblang",-5
"game",2
"gampang",4
"gampang",-3
"gamungkin",-3
"ganar",-4
"ganas",-5
"ganda",-3
"ganduh",3
"gang",-4
"gangerti",-3
"ganggang",-3
"ganggu",-4
"ganggu jiwa",-4
"gangguan jiwa",-4
"gangguin",-3
"gangsar",4
"gangsar",-3
"gani",4
"ganjal",-3
"ganjar",5
"ganjar",-3
"ganjar balas",1
"ganjaran",5
"ganjaran",-5
"ganjaran balasan",1
"ganjil",4
"ganjil",-4
"ganteng",4
"ganteng",-4
"ganti",3
"ganti",-3
"gantung",-3
"ganyang",1
"ganyang",-4
"gapah",5
"gapaham",-4
"gapai",3
"gapaian",3
"gapernah",-3
"gapil mulut",-4
"gapuk",-3
"gapura",-4
"gara",-4
"gara-gara",-5
"garang",-5
"garda",3
"gari",3
"garib",-4
"garing",5
"garis",-3
"garis bawah",-3
"garis besar",2
"garit",-3
"garu",-4
"garuk",-3
"garwa ampil",-5
"gas",-4
"gasak",-5
"gastroenterologi",-5
"gasuka",-4
"gatal",-3
"gatau",-1
"gatel",-3
"gatra",3
"gaul",-3
"gaung",-3
"gausa",-3
"gausah",-4
"gawat",-5
"gayung",-4
"gblk",-4
"gbs",-2
"gebang",-4
"gebetan",-2
"geblek",-5
"gebok",-3
"gebos",-3
"gebu",-3
"gebung",-5
"gebyar",4
"gedang",-4
"gede",2
"gede",-2
"gedembai",-4
"gedembal",2
"gedor",-4
"gegabah",-5
"gegadan",-5
"gegap",2
"gegap",-5
"gegar",-3
"gegara",-3
"geger",4
"geger",-3
"gegetun",-4
"gejolak",1
"gejolak",-3
"gela",-3
"geladah",-3
"geladir",-5
"gelagap",-2
"gelagat",1
"gelagat",-4
"gelak",2
"gelanggang",2
"gelanggang",-3
"gelantung",-4
"gelap",-4
"gelar",2
"gelatak",-4
"gelebah",2
"gelebah",-2
"gelecik",-4
"geledah",-3
"geledek",-2
"gelegak",1
"gelegak",-3
"geleng",-3
"geleser",1
"gelesot",1
"gelesot",-3
"geletar",-4
"geletik",-3
"geli",-2
"geliat",-3
"gelibat",-2
"gelicik",-3
"gelincir",1
"gelincir",-3
"gelingsir",-3
"gelinjang",-3
"gelis",-3
"gelisah",-5
"gelo",-2
"gelogok",-3
"gelongsor",-4
"gelopak",-4
"gelora",2
"gelora",-2
"geluduk",-3
"geluncur",-3
"gelung",-3
"gema",1
"gemal",-5
"gemar",5
"gemar",-1
"gemas",4
"gemas",-5
"gemaung",-3
"gembel",-5
"gembil",-4
"gembira",5
"gembira",-3
"gemblung",-3
"gembol",-4
"gembrot",-3
"gembul",-3
"gembung",-3
"gembur",5
"gemeletek",-4
"gemes",-2
"gemetar",-3
"gemi",3
"geming",2
"geming",-4
"gemirang",4
"gempa",4
"gempa bumi",4
"gempal",-2
"gempar",4
"gempar",-2
"gempil",-4
"gempita",4
"gempita",-5
"gempur",-4
"gempuran",-3
"gemuk",-3
"gemuruh",-3
"genah",2
"genah",-5
"genang",-2
"genangan",-2
"genap",-3
"gencat",-5
"gencet",-5
"gendak",-5
"gendeng",-2
"gending",1
"gendut",-3
"generasi",-3
"gengsi",4
"genial",4
"genit",5
"genit",-3
"genitalia",-3
"genius",3
"genjang",-4
"gentar",1
"gentar",-4
"gentas",3
"gentas",-2
"gepok",2
"gepok",-5
"gerah",-5
"gerak-gerik",4
"gerak gerik",1
"gerak hati",4
"gerak laku",1
"gerakan",4
"gerecok",-4
"geregetan",-4
"gerenyot",-4
"gerepes",-4
"geret",-3
"geretan",-4
"gergaji",-1
"gerha",3
"gerhana",-2
"geriap",-4
"gerimis",1
"gerimis",1
"gering",-5
"gering hulu",-4
"germo",-5
"gerobak",-4
"gerombol",-4
"gerombolan",-4
"gerombong",-4
"gersang",-3
"gertak",-5
"geruh",-4
"gesek",1
"gesek",-3
"geser",1
"geser",-5
"getap",-4
"getar",1
"getar",-3
"getaran",1
"getaran",-3
"getas",5
"getir",-4
"getol",2
"getol",-3
"getun",-4
"giang",-3
"gibah",-3
"gidik",-4
"gigil",3
"gigil",-4
"gigit",-2
"gila",3
"gila",-4
"gila",-5
"gila-gila",-4
"gila-gilaan",2
"gila-gilaan",-3
"gilak",-4
"gilas",-4
"gili-gili",-3
"giliran",3
"ginding",-4
"gingsir",-3
"giniin",-2
"girang",3
"girik",3
"girik-girik",3
"gita",2
"gituan",-3
"giwang",-1
"gjd",-3
"globe",1
"globe",-3
"gobar hati",-2
"gobek",3
"goblok",-5
"goda",2
"goda",-3
"godaan",-3
"godain",-3
"gogrok",-3
"gohong",-3
"gol",3
"golak",-5
"golek",-1
"golongan atas",5
"gombal",2
"gombong",-3
"gombrang",3
"gombroh",3
"gombrong",3
"goncang",-3
"gondok",-4
"gone",-2
"gonggong anjing",-3
"gonggongan (anjing)",-3
"gonjak",-5
"gontai",1
"gontok",-4
"good",5
"goodbye",-3
"gorek api",-4
"goreng",1
"goreng",-2
"gores",1
"gores",-3
"gorong-gorong",-4
"gosah",-3
"gosip",-5
"gosok",-5
"got",-3
"goyah",-4
"goyang",-4
"grahita",3
"gratifikasi",2
"gratis",4
"great",3
"grecok",-4
"gres",4
"grip",-4
"griya",-1
"grogi",-4
"grup",-4
"gua",-3
"guar",3
"gubahan",3
"gubris",3
"gubris",-2
"gubrisan",-2
"gubuk",-2
"gudi",4
"gugah",2
"gugah",-1
"gugatan",-5
"gugup",-5
"gugur",1
"gugur",-3
"gugus",-4
"gulana",-4
"guling",-3
"gulir",-3
"gulung tikar",-5
"guna",1
"guncang",-3
"guncangan",-2
"gundah",-5
"gundal",-3
"gundik",-2
"gunduk",-3
"gundukan",-4
"gunjingan",-5
"guntang-guntang",3
"guntur",-3
"guram",-2
"gurau",-4
"gurauan",-4
"gurih",1
"guru",3
"gurub",-5
"gurufavorit",3
"guruh",2
"guruh",-3
"gurun",-3
"gusar",1
"gusar",-3
"gusti",4
"gusur",-5
"gutuk",4
"guyon",-4
"guys",1
"gws",2
"habis",3
"habis",-3
"habis akal",-5
"habitat",-2
"habituasi",1
"hack",-4
"hadang",-5
"hadeh",-4
"hadiah",4
"hadiah",-3
"hadir",2
"hadir",-3
"hadirin",-3
"hai",3
"haih",-4
"hajar",-5
"hajat",1
"hajat",-5
"hakam",-3
"hakiki",-4
"hakimah",4
"halah",-5
"halang",-3
"halilintar",-3
"hallo",4
"halo",1
"haloo",3
"hama",-3
"hamba allah",3
"hamba Allah",3
"hambar",-3
"hambat",-4
"hambur",-3
"hamburan",-3
"hamik",-3
"hamil",-5
"hampa",-5
"hamparan",3
"hamster",-3
"hancai",-5
"hancur lebur",-5
"handai",3
"handai",-4
"hangat",4
"hangat",-3
"hangit",-5
"hangus",-3
"hantam",-5
"hantam kromo",-4
"hantaman",-3
"hantu",3
"hantu",-4
"hanya",-3
"happy",5
"hapus",-3
"harap",3
"harap",-3
"harap-harap",-5
"harap-harap cemas",-3
"hardik",-5
"hardikan",-5
"harga",3
"harga diri",3
"harkat",5
"harmonis",3
"harmonis",-1
"harmonisasi",3
"harmonisasiuniv",2
"haru biru",-5
"harum",5
"harus",-5
"hasad",2
"hasad",-5
"hasan",3
"hasan",-4
"hasil",3
"hastag",1
"hasud",-5
"hate",-5
"haters",-5
"hati",2
"hati",-2
"hati-hati",2
"hati-hati",-3
"hatiku",2
"hatiku",-2
"hawa",-4
"hawar",-5
"hay",1
"hayat",3
"hayat",-2
"hayo",4
"hayoloh",-3
"heban",4
"heboh",1
"heboh",-3
"hebring",3
"hello",2
"helloo",1
"hellooo",2
"help",2
"hemat",4
"hemat",-3
"hembus",-3
"hempas",-4
"hendak",1
"hendak",-1
"hendaknya",1
"hendaknya",-1
"hengkang",-4
"henti",-4
"henti tugas",-2
"henyak",-4
"heran",4
"heran",-3
"herbal",2
"heula",-2
"hi",1
"hias",3
"hiasan",3
"hiatus",-2
"hibah",4
"hidang",2
"hidu",-1
"hidung",-5
"hidup",2
"hidup",-4
"hih",-4
"hii",3
"hiii",1
"hijau",3
"hikmah",2
"hikmat",3
"hilaf",-4
"hilang",3
"hilang",-4
"hilang akal",-5
"hilang arwah",-4
"hilang hayat",-4
"hilang ingat",-4
"hilang ingatan",-4
"hilang nyawa",-5
"hilang pikiran",-4
"hilang semangat",-4
"hilir",4
"himpit",1
"himpit",-4
"himpun",-3
"himpunan",-4
"hina",-5
"hina aib",-4
"hina rendah",-3
"hinaan",-5
"hinaan cacian",-5
"hingar",2
"hingar",-5
"hipotesis",-3
"hipotetis",3
"hirap",-3
"hiruk",1
"hiruk",-4
"hiruk-pikuk",4
"hiruk-pikuk",-3
"hirup",-3
"hisap",-3
"histeria",-5
"histeris",-4
"hitam",-4
"hitung",1
"hoax",-5
"hoki",3
"hoki",-3
"homogen",2
"hop",-5
"horor",-5
"hostel",1
"hot",-4
"hotel",1
"hubung",1
"hubung",-3
"hubungan singkat",-4
"huda",-3
"huhuhu",-2
"huhuu",-4
"hujah",-4
"hujan",1
"hujan",-2
"hujan gerimis",1
"hujan ringan",2
"hujat",-5
"hujung",-3
"hukum",3
"hukum",-3
"hulu",-3
"hulubalang",3
"huma",-4
"huni",-3
"hunjam",-4
"hutan",3
"hutang",-5
"hy",1
"iba",-5
"ibadah",4
"ibadat",4
"iblis",-4
"ibunda",3
"ibunda",-5
"idam",3
"idam",-2
"idaman",3
"idap",-5
"ideal",3
"idih",-3
"idiosinkratis",4
"idiot",-5
"idk",-3
"idola",-3
"iflix",1
"ifrit",-4
"igau",-3
"igauan",-3
"ihh",-5
"ihhh",-4
"ihhhh",-3
"ihsan",4
"ihwal",-4
"iih",-5
"ijab",2
"ijab",-4
"ijtihad",3
"ikan kena tuba",-4
"ikat",1
"ikat",-5
"ikat janji",3
"ikat janji",-4
"ikat rambut",-4
"ikhlas",4
"ikhtiar",3
"ikhtiar",-4
"iktifak",4
"iktikad",2
"iktikad",-4
"ikut",-3
"ikut-ikutan",-3
"ikut serta",3
"ikutan",4
"ikutan",-3
"ilang",-5
"ilat",-5
"ilmu",4
"iluminasi",-3
"ilusi",3
"image",-2
"imaji",3
"imam",1
"imam",-3
"iman",3
"iman",-3
"imbal",1
"imbalan",1
"imbalan",-3
"imbang",2
"imbang",-3
"imbas",-4
"imbesil",-5
"imbuh",1
"iming-iming",-3
