author_id,tweet,username,follower
1426182835321200642,"hi! gue ryn, lagi nyari temen mutualan buat ambis snbt/utbk 2023 nie..

about me: 
- call me ryn
- gapyear'22 / soshum
- 04L
- she/her

let's be moots! bantu like &amp; rt ya, thankyou..

#AMBISVERSE #studyacc #studytwt #ambistwt #study",rynsze,68
1542165585986932736,nga ngo nga ngo bgt ttg snbt😭😭😭,studyzwthjey,373
1201116823623569409,@nadiyatk yang ga bisa snbt diam aja 😔,Dshitdiq,132
1381232639730884615,"yuuuk pejuang SNBT 2023 kita mutualan!!!

about me ; 
• u can call me 'adin/dina' 
• 05L 
• angkatan 23
• i like kpop mostly nct

yang lewat ini boleh rt yaa, rep ajaa nanti aku fb #studytwt #studyacc #studytwtph #studymoots #AMBISVERSE #ambistwt",thisadina,321
1478134317373001731,"ya allah akhir2 ini cape banget, baru kerasa capenya pas tugas organisasi, tugas kuliah dan uts, ditambah belajar snbt 🥲

doain semoga soal soal uts nya ga diluar nalar amin 😔☝🏻",mawstrophile,2021
1526476091732672514,@pawwwsh Bismillah lulus snbt🔥,Agimrahman,2
1262019246902571009,"@zoldycklee Bisaaa rg dia ada paket khusus snbt, bisa dm yaa🥳",layshop98,16
1411162598045716481,"halooo, kalo lewat mau tau dong. kalian pake buku apaa buat persiapan snbt?",naaaauw,320
1254668844401954823,"tanya dong, contoh soal snbt udah keluar?",apideul,619
1589549677640552449,"moots! rekomendasiin channel yt/aplikasi buat belajar soal soal snbt, TIA &lt;3",jiestdvy,103
1535249116741390336,@sbmptnfess Tolong ini bener g si bikin ovt😭 Masa dah ada spoiker soal snbt https://t.co/HKfzD5SpLg,Akukuaku3,0
1589499002621657090,"YALLAHH LANCARRR SNBT 2023,
JEBOL JEBOL, OPTIMIZZ😤",yealippp,0
1145123964940718080,"Video Pembahasan SNBT Penalaran Matematika part 32
https://t.co/eCMVQEVvhX",bahassoalfess,45286
1427939969826398215,"Yuk Kak. (WTS Wangsit) Buku Wangsit Platinum SOSHUM 2023 nya, stok terbatas dan ready  tanpa harus pre-order yaa 🤗.
https://t.co/SXI19StnFL

https://t.co/CE4SQ5RV9x

#ambistwt #ambisverse #soshum #studytwt #zonajajan #wts #sbmptn #utbk #studyacc  #wangsit #snbt #bukusnbt https://t.co/Azipbih3sf https://t.co/lMhYP9GDIg",halofadlistore,155
1427939969826398215,"@JualanMenfess Yuk Kak. (WTS Wangsit) Buku Wangsit Platinum SOSHUM 2023 nya, stok terbatas dan ready  tanpa harus pre-order yaa 🤗.
https://t.co/SXI19StnFL

https://t.co/CE4SQ5RV9x

#ambistwt #ambisverse #soshum #studytwt #zonajajan #wts #sbmptn #utbk #studyacc  #wangsit #snbt #bukusnbt https://t.co/XiAqbuAIjm",halofadlistore,155
1588461055809708033,tobk pola snbt ke 2 ku masih nt wkwk,catstuudy,30
1489895665597435906,"anjir gua bingung mo belajar snbt kayak gmn caranya, cuma maen zencore doang dari bulan lalu",walterwhite333,193
1538905584509931522,@efpsiuwiw23 Yaudahlahhh. Lolos snbt juga belum tentu bisa kuliah.😂😂😂,grapeeloop,979
1205629250423779328,"👨‍🎓 KALIAN YANG MAU IKUT KEDINASAN DAN SNBT, BAGI WAKTU BELAJARNYA GMN",sbmptnfess,541941
1325942916922048512,"@pawwwsh avv happyy birthday, alnaa!! smgaa lolos snbt'23, aamiin 🥳🥰",efpsiuwiw23,782
1437239822968446978,Buku snbt yang bagus apaan ya?,daffodilflowr,2
1325942916922048512,"MASAA GUE MIMPI UDAH MAU BUKA PENGUMUMAN SNBT AJAAA, TAKOET😭😭😭",efpsiuwiw23,782
1572894560698904578,stop ya stop gw gamau baca soal snbt,nthngelsee,4
1247395398836047872,"Nah ini cara untuk pengerjaannya yah..

Mudah bangett kan ..!!
Setelah pengerjaan akan muncul video pembahasan dan teks pembahasan.
#snbt #snbp https://t.co/ay7nDvZgDK",CerebrumId,29748
1256779595556065281,Pagi-pagi mikirin snbp snbt + tes agak berat ya,soyypengenambis,1167
1247395398836047872,"Tolong dibaca dengan baik dan benar ya guys..hehee

Ini persyaratan untuk daftar Try Out Gratis Akbar yah.. #snbt #snbp https://t.co/B3KO5ZsV8D",CerebrumId,29748
